mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22209000,G25247,5,LM,2014/04/03 15:23:00,2014/04/03 15:26:00,-1,2014/04/03 15:22:00,2014/04/03 15:26:00,-1,LATE,Network Rail,EUS,TRI
train,22216000,L36084,2,LO,2014/04/03 15:26:00,2014/04/03 15:26:00,-1,2014/04/03 15:26:00,2014/04/03 15:26:00,-1,ON TIME,Network Rail,WFJ,EUS
train,22209000,G25209,6,LM,2014/04/03 15:49:00,2014/04/03 15:50:00,-1,2014/04/03 15:48:00,2014/04/03 15:50:00,-1,LATE,Network Rail,TRI,EUS
train,22209000,G25249,5,LM,2014/04/03 15:51:00,2014/04/03 15:51:00,-1,2014/04/03 15:51:00,2014/04/03 15:50:00,-1,ON TIME,Network Rail,EUS,TRI
train,22216000,L36229,1,LO,2014/04/03 15:57:00,2014/04/03 15:57:00,0,2014/04/03 15:57:00,2014/04/03 15:56:00,0,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36090,2,LO,2014/04/03 16:06:00,2014/04/03 16:06:00,0,2014/04/03 16:06:00,2014/04/03 16:05:00,0,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36226,1,LO,2014/04/03 16:17:00,2014/04/03 16:17:00,0,2014/04/03 16:17:00,2014/04/03 16:16:00,0,ON TIME,Network Rail,EUS,WFJ
train,22209000,G25214,6,LM,2014/04/03 16:19:00,2014/04/03 16:20:00,-1,2014/04/03 16:18:00,2014/04/03 16:20:00,-1,LATE,Network Rail,TRI,EUS
train,22209000,G25251,5,LM,2014/04/03 16:23:00,2014/04/03 16:24:00,1,2014/04/03 16:22:00,2014/04/03 16:24:00,1,LATE,Network Rail,EUS,TRI
train,22216000,L36094,2,LO,2014/04/03 16:26:00,2014/04/03 16:26:00,-1,2014/04/03 16:26:00,2014/04/03 16:25:00,-1,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36223,1,LO,2014/04/03 16:37:00,2014/04/03 16:37:00,0,2014/04/03 16:37:00,2014/04/03 16:36:00,0,EARLY,Network Rail,EUS,WFJ
train,22216000,L36211,1,LO,2014/04/03 17:59:00,2014/04/03 18:02:00,0,2014/04/03 17:58:00,2014/04/03 18:02:00,0,LATE,Network Rail,EUS,WFJ
train,22216000,L36108,2,LO,2014/04/03 18:06:00,2014/04/03 18:06:00,-1,2014/04/03 18:06:00,2014/04/03 18:05:00,-1,NO REPORT,Network Rail,WFJ,EUS
train,22216000,L36208,1,LO,2014/04/03 18:19:00,2014/04/03 18:19:00,-1,2014/04/03 18:19:00,2014/04/03 18:18:00,-1,ON TIME,Network Rail,EUS,WFJ
train,22209000,G25147,6,LM,2014/04/03 18:23:00,2014/04/03 18:23:00,0,2014/04/03 18:23:00,2014/04/03 18:22:00,0,ON TIME,Network Rail,TRI,EUS
train,22216000,L36113,2,LO,2014/04/03 18:26:00,2014/04/03 18:26:00,-1,2014/04/03 18:26:00,2014/04/03 18:25:00,-1,ON TIME,Network Rail,WFJ,EUS
