mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22209000,G24113,3,LM,2014/04/03 15:48:00,2014/04/03 15:48:00,-1,2014/04/03 15:48:00,2014/04/03 15:47:00,-1,ON TIME,Network Rail,EUS,MKC
train,12259320,G25467,4,LM,2014/04/03 15:51:00,2014/04/03 15:51:00,-1,2014/04/03 15:51:00,2014/04/03 15:50:00,-1,ON TIME,Network Rail,BHM,EUS
train,22209000,G25214,4,LM,2014/04/03 16:05:00,2014/04/03 16:07:00,0,2014/04/03 16:04:00,2014/04/03 16:07:00,0,LATE,Network Rail,TRI,EUS
train,22209000,G25249,3,LM,2014/04/03 16:06:00,2014/04/03 16:07:00,-1,2014/04/03 16:05:00,2014/04/03 16:07:00,-1,LATE,Network Rail,EUS,TRI
train,22209000,G25488,3,LM,2014/04/03 16:18:00,2014/04/03 16:18:00,-1,2014/04/03 16:18:00,2014/04/03 16:17:00,-1,EARLY,Network Rail,EUS,BHM
train,22209000,G24058,4,LM,2014/04/03 16:19:00,2014/04/03 16:19:00,0,2014/04/03 16:19:00,2014/04/03 16:19:00,0,ON TIME,Network Rail,MKC,EUS
train,24674005,W82067,3,SN,2014/04/03 16:29:00,2014/04/03 16:29:00,0,2014/04/03 16:29:00,2014/04/03 16:28:00,0,EARLY,Network Rail,SCY,MKC
train,22209000,G25216,4,LM,2014/04/03 16:35:00,2014/04/03 16:36:00,-1,2014/04/03 16:34:00,2014/04/03 16:36:00,-1,LATE,Network Rail,TRI,EUS
train,22209000,G25140,4,LM,2014/04/03 17:05:00,2014/04/03 17:06:00,-1,2014/04/03 17:04:00,2014/04/03 17:06:00,-1,LATE,Network Rail,TRI,EUS
train,22209000,G25253,3,LM,2014/04/03 17:06:00,2014/04/03 17:06:00,-1,2014/04/03 17:06:00,2014/04/03 17:06:00,-1,ON TIME,Network Rail,EUS,TRI
train,22209000,G23948,4,LM,2014/04/03 17:19:00,2014/04/03 17:19:00,0,2014/04/03 17:19:00,2014/04/03 17:18:00,0,EARLY,Network Rail,MKC,EUS
train,22209000,G25446,3,LM,2014/04/03 17:23:00,2014/04/03 17:25:00,0,2014/04/03 17:22:00,2014/04/03 17:25:00,0,LATE,Network Rail,EUS,TRI
train,24674005,W82069,3,SN,2014/04/03 17:29:00,2014/04/03 17:30:00,0,2014/04/03 17:28:00,2014/04/03 17:30:00,0,LATE,Network Rail,SCY,MKC
train,22209000,G25144,4,LM,2014/04/03 17:35:00,2014/04/03 17:35:00,0,2014/04/03 17:35:00,2014/04/03 17:34:00,0,ON TIME,Network Rail,TRI,EUS
train,22209000,G25447,3,LM,2014/04/03 17:36:00,2014/04/03 17:37:00,0,2014/04/03 17:35:00,2014/04/03 17:37:00,0,LATE,Network Rail,EUS,MKC
train,24674005,W82153,4,SN,2014/04/03 17:43:00,2014/04/03 17:43:00,-1,2014/04/03 17:43:00,2014/04/03 17:42:00,-1,EARLY,Network Rail,MKC,ECR
train,22209000,G24125,3,LM,2014/04/03 17:58:00,2014/04/03 17:58:00,0,2014/04/03 17:57:00,2014/04/03 17:56:00,-1,ON TIME,Network Rail,EUS,MKC
train,22209000,G25147,4,LM,2014/04/03 18:08:00,2014/04/03 18:08:00,-1,2014/04/03 18:07:00,2014/04/03 18:08:00,-1,ON TIME,Network Rail,TRI,EUS
train,22209000,G25261,3,LM,2014/04/03 18:10:00,2014/04/03 18:11:00,0,2014/04/03 18:09:00,2014/04/03 18:11:00,0,LATE,Network Rail,EUS,TRI
train,22209000,G24300,3,LM,2014/04/03 18:18:00,2014/04/03 18:18:00,-1,2014/04/03 18:17:00,2014/04/03 18:18:00,-1,ON TIME,Network Rail,EUS,NMP
train,22209000,G23958,4,LM,2014/04/03 18:19:00,,,2014/04/03 18:18:00,,,CANCELLED,Network Rail,MKC,EUS
train,22209000,G25161,4,LM,2014/04/03 19:38:00,2014/04/03 19:39:00,-1,2014/04/03 19:38:00,2014/04/03 19:39:00,-1,LATE,Network Rail,TRI,EUS
train,22209000,G25157,3,LM,2014/04/03 19:38:00,2014/04/03 19:40:00,-1,2014/04/03 19:37:00,2014/04/03 19:40:00,-1,LATE,Network Rail,EUS,TRI
train,24674005,W82155,4,SN,2014/04/03 19:45:00,2014/04/03 19:45:00,0,2014/04/03 19:45:00,2014/04/03 19:44:00,0,ON TIME,Network Rail,MKC,CLJ
train,12259320,G25485,4,LM,2014/04/03 19:51:00,2014/04/03 19:51:00,-1,2014/04/03 19:50:00,2014/04/03 19:49:00,-2,EARLY,Network Rail,BHM,EUS
train,22209000,G23993,3,LM,2014/04/03 19:50:00,2014/04/03 19:51:00,-1,2014/04/03 19:50:00,2014/04/03 19:51:00,-1,LATE,Network Rail,EUS,MKC
train,22209000,G25496,3,LM,2014/04/03 20:18:00,2014/04/03 20:19:00,-1,2014/04/03 20:17:00,2014/04/03 20:19:00,-1,LATE,Network Rail,EUS,BHM
train,22209000,G23973,4,LM,2014/04/03 20:19:00,2014/04/03 20:19:00,-1,2014/04/03 20:19:00,2014/04/03 20:19:00,-1,ON TIME,Network Rail,MKC,EUS
train,24674005,W82076,3,SN,2014/04/03 20:30:00,2014/04/03 20:30:00,0,2014/04/03 20:30:00,2014/04/03 20:29:00,0,EARLY,Network Rail,ECR,MKC
train,22209000,G25171,4,LM,2014/04/03 20:35:00,2014/04/03 20:35:00,-1,2014/04/03 20:35:00,2014/04/03 20:34:00,-1,ON TIME,Network Rail,TRI,EUS
train,24674005,W82157,4,SN,2014/04/03 20:43:00,2014/04/03 20:43:00,-1,2014/04/03 20:43:00,2014/04/03 20:43:00,-1,ON TIME,Network Rail,MKC,CLJ
train,22209000,G25178,3,LM,2014/04/03 20:38:00,2014/04/03 20:44:00,-1,2014/04/03 20:37:00,2014/04/03 20:44:00,-1,LATE,Network Rail,EUS,TRI
train,12259320,G25490,4,LM,2014/04/03 20:51:00,2014/04/03 20:59:00,14,2014/04/03 20:50:00,2014/04/03 20:58:00,13,LATE,Network Rail,BHM,EUS
train,22209000,G24021,3,LM,2014/04/03 20:51:00,2014/04/03 20:51:00,6,2014/04/03 20:51:00,2014/04/03 20:51:00,6,ON TIME,Network Rail,EUS,MKC
train,22209000,G25175,4,LM,2014/04/03 21:05:00,2014/04/03 21:05:00,20,2014/04/03 21:05:00,2014/04/03 21:05:00,20,ON TIME,Network Rail,TRI,EUS
train,22209000,G25187,3,LM,2014/04/03 21:06:00,2014/04/03 21:08:00,23,2014/04/03 21:06:00,2014/04/03 21:08:00,23,LATE,Network Rail,EUS,TRI
train,22209000,G24225,3,LM,2014/04/03 21:18:00,2014/04/03 21:18:00,33,2014/04/03 21:18:00,2014/04/03 21:18:00,33,ON TIME,Network Rail,EUS,NMP
train,22209000,G23981,4,LM,2014/04/03 21:20:00,2014/04/03 21:20:00,35,2014/04/03 21:20:00,2014/04/03 21:20:00,35,ON TIME,Network Rail,MKC,EUS
train,24674005,W82077,3,SN,2014/04/03 21:29:00,2014/04/03 21:29:00,44,2014/04/03 21:29:00,2014/04/03 21:29:00,44,ON TIME,Network Rail,CLJ,MKC
train,22209000,G25181,4,LM,2014/04/03 21:35:00,2014/04/03 21:35:00,50,2014/04/03 21:35:00,2014/04/03 21:35:00,50,ON TIME,Network Rail,TRI,EUS
train,22209000,G23542,3,LM,2014/04/03 21:37:00,2014/04/03 21:37:00,52,2014/04/03 21:37:00,2014/04/03 21:37:00,52,ON TIME,Network Rail,EUS,BLY
train,24674005,W82158,4,SN,2014/04/03 21:43:00,2014/04/03 21:43:00,58,2014/04/03 21:43:00,2014/04/03 21:43:00,58,ON TIME,Network Rail,MKC,CLJ
train,22209000,G24116,3,LM,2014/04/03 21:48:00,2014/04/03 21:48:00,63,2014/04/03 21:48:00,2014/04/03 21:48:00,63,ON TIME,Network Rail,EUS,MKC
train,12259320,G25493,4,LM,2014/04/03 21:51:00,2014/04/03 21:52:00,67,2014/04/03 21:50:00,2014/04/03 21:51:00,66,LATE,Network Rail,BHM,EUS
train,22209000,G24081,3,LM,2014/04/03 22:05:00,2014/04/03 22:05:00,80,2014/04/03 22:05:00,2014/04/03 22:05:00,80,ON TIME,Network Rail,EUS,BLY
train,22209000,G24234,3,LM,2014/04/03 22:18:00,2014/04/03 22:18:00,93,2014/04/03 22:18:00,2014/04/03 22:18:00,93,ON TIME,Network Rail,EUS,NMP
train,12259320,G25558,4,LM,2014/04/03 22:25:00,2014/04/03 22:28:00,103,2014/04/03 22:24:00,2014/04/03 22:27:00,102,LATE,Network Rail,BHM,EUS
train,22209000,G24126,3,LM,2014/04/03 22:37:00,2014/04/03 22:37:00,112,2014/04/03 22:37:00,2014/04/03 22:37:00,112,ON TIME,Network Rail,EUS,MKC
train,22209000,G24030,4,LM,2014/04/03 22:37:00,2014/04/03 22:37:00,112,2014/04/03 22:37:00,2014/04/03 22:37:00,112,ON TIME,Network Rail,MKC,EUS
train,24674005,W82161,,SN,2014/04/03 22:44:00,2014/04/03 22:44:00,119,2014/04/03 22:44:00,2014/04/03 22:44:00,119,ON TIME,Network Rail,MKC,ECR
