mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22209000,G24054,9,LM,2014/04/03 15:27:00,2014/04/03 15:27:00,-1,2014/04/03 15:26:00,2014/04/03 15:26:00,-2,EARLY,Network Rail,MKC,EUS
train,22209000,G25209,9,LM,2014/04/03 15:46:00,2014/04/03 15:47:00,0,2014/04/03 15:45:00,2014/04/03 15:47:00,0,LATE,Network Rail,TRI,EUS
train,24674005,W82150,9,SN,2014/04/03 15:52:00,2014/04/03 15:52:00,-1,2014/04/03 15:51:00,2014/04/03 15:50:00,-2,ON TIME,Network Rail,MKC,SCY
train,22209000,G25249,8,LM,2014/04/03 15:55:00,2014/04/03 15:55:00,-1,2014/04/03 15:54:00,2014/04/03 15:53:00,-2,ON TIME,Network Rail,EUS,TRI
train,12259320,G25467,9,LM,2014/04/03 15:59:00,2014/04/03 15:59:00,0,2014/04/03 15:59:00,2014/04/03 15:58:00,0,ON TIME,Network Rail,BHM,EUS
train,22209000,G26947,6,LM,2014/04/03 16:03:00,2014/04/03 16:07:00,-1,2014/04/03 16:02:00,2014/04/03 16:07:00,-1,LATE,Network Rail,EUS,BHM
train,22216000,L36229,4,LO,,,,2014/04/03 16:04:00,2014/04/03 16:04:00,0,EARLY,Network Rail,EUS,WFJ
train,22209000,G25488,8,LM,2014/04/03 16:11:00,2014/04/03 16:11:00,0,2014/04/03 16:09:00,2014/04/03 16:08:00,-2,EARLY,Network Rail,EUS,BHM
train,22209000,G25214,9,LM,2014/04/03 16:16:00,2014/04/03 16:18:00,-1,2014/04/03 16:15:00,2014/04/03 16:18:00,-1,LATE,Network Rail,TRI,EUS
train,24674005,W82067,8,SN,2014/04/03 16:21:00,2014/04/03 16:21:00,0,2014/04/03 16:21:00,2014/04/03 16:20:00,0,EARLY,Network Rail,SCY,MKC
train,22213000,G23700,11,LM,,,,2014/04/03 16:23:00,2014/04/03 16:22:00,0,NO REPORT,Network Rail,SAA,WFJ
train,22216000,L36226,4,LO,,,,2014/04/03 16:24:00,2014/04/03 16:23:00,-1,ON TIME,Network Rail,EUS,WFJ
train,22209000,G24058,9,LM,2014/04/03 16:27:00,2014/04/03 16:28:00,1,2014/04/03 16:25:00,2014/04/03 16:27:00,0,LATE,Network Rail,MKC,EUS
train,22209000,G25251,8,LM,2014/04/03 16:26:00,2014/04/03 16:28:00,0,2014/04/03 16:25:00,2014/04/03 16:28:00,0,LATE,Network Rail,EUS,TRI
train,12259320,G26945,7,LM,2014/04/03 16:30:00,2014/04/03 16:34:00,-1,2014/04/03 16:29:00,2014/04/03 16:34:00,-1,LATE,Network Rail,BHM,EUS
train,22100001,Y81294,7,VT,,,,2014/04/03 16:36:00,2014/04/03 16:40:00,0,LATE,Network Rail,BHM,EUS
train,22213000,G23705,11,LM,,,,2014/04/03 17:08:00,2014/04/03 17:07:00,-1,LATE,Network Rail,SAA,WFJ
train,22216000,L36220,4,LO,,,,2014/04/03 17:08:00,2014/04/03 17:08:00,-1,ON TIME,Network Rail,EUS,WFJ
train,22209000,G25446,8,LM,2014/04/03 17:14:00,2014/04/03 17:15:00,-1,2014/04/03 17:13:00,2014/04/03 17:15:00,-1,LATE,Network Rail,EUS,TRI
train,22209000,G25140,9,LM,2014/04/03 17:16:00,2014/04/03 17:18:00,-1,2014/04/03 17:15:00,2014/04/03 17:18:00,-1,LATE,Network Rail,TRI,EUS
train,24674005,W82069,8,SN,2014/04/03 17:21:00,2014/04/03 17:22:00,0,2014/04/03 17:20:00,2014/04/03 17:22:00,0,LATE,Network Rail,SCY,MKC
train,22209000,G25447,8,LM,2014/04/03 17:27:00,2014/04/03 17:27:00,-1,2014/04/03 17:26:00,2014/04/03 17:25:00,-2,ON TIME,Network Rail,EUS,MKC
train,22209000,G23948,9,LM,2014/04/03 17:27:00,2014/04/03 17:27:00,-1,2014/04/03 17:26:00,2014/04/03 17:26:00,-2,ON TIME,Network Rail,MKC,EUS
train,22216000,L36217,4,LO,,,,2014/04/03 17:28:00,2014/04/03 17:28:00,0,EARLY,Network Rail,EUS,WFJ
train,12259320,G26949,7,LM,2014/04/03 17:30:00,2014/04/03 17:33:00,-1,2014/04/03 17:29:00,2014/04/03 17:33:00,-1,LATE,Network Rail,BHM,EUS
train,22209000,G25255,8,LM,2014/04/03 17:33:00,2014/04/03 17:34:00,0,2014/04/03 17:33:00,2014/04/03 17:34:00,0,LATE,Network Rail,EUS,TRI
train,22100001,Y81297,7,VT,,,,2014/04/03 17:38:00,2014/04/03 17:42:00,0,LATE,Network Rail,BHM,EUS
train,22209000,G25321,8,LM,2014/04/03 17:44:00,2014/04/03 17:44:00,0,2014/04/03 17:43:00,2014/04/03 17:42:00,-1,EARLY,Network Rail,EUS,CRE
train,22209000,G25144,9,LM,2014/04/03 17:46:00,2014/04/03 17:46:00,-1,2014/04/03 17:46:00,2014/04/03 17:45:00,-1,ON TIME,Network Rail,TRI,EUS
train,22213000,G23709,11,LM,,,,2014/04/03 17:58:00,2014/04/03 17:57:00,0,LATE,Network Rail,SAA,WFJ
train,12259320,G25475,9,LM,2014/04/03 17:59:00,2014/04/03 18:00:00,0,2014/04/03 17:58:00,2014/04/03 18:00:00,0,LATE,Network Rail,BHM,EUS
train,22209000,G25261,8,LM,2014/04/03 18:01:00,2014/04/03 18:02:00,0,2014/04/03 17:59:00,2014/04/03 18:01:00,-1,LATE,Network Rail,EUS,TRI
train,22216000,L36211,4,LO,,,,2014/04/03 18:07:00,2014/04/03 18:08:00,-1,EARLY,Network Rail,EUS,WFJ
train,22209000,G24300,8,LM,2014/04/03 18:11:00,2014/04/03 18:11:00,-1,2014/04/03 18:08:00,2014/04/03 18:09:00,-3,EARLY,Network Rail,EUS,NMP
train,22209000,G25147,9,LM,2014/04/03 18:20:00,2014/04/03 18:20:00,-1,2014/04/03 18:18:00,2014/04/03 18:19:00,-2,ON TIME,Network Rail,TRI,EUS
train,24674005,W82072,8,SN,2014/04/03 18:21:00,2014/04/03 18:24:00,-1,2014/04/03 18:20:00,2014/04/03 18:24:00,-1,LATE,Network Rail,SCY,MKC
train,22100001,Y81304,7,VT,,,,2014/04/03 19:38:00,2014/04/03 19:40:00,-1,LATE,Network Rail,BHM,EUS
train,22209000,G23993,8,LM,2014/04/03 19:43:00,2014/04/03 19:45:00,1,2014/04/03 19:39:00,2014/04/03 19:42:00,-2,LATE,Network Rail,EUS,MKC
train,22109001,Y81163,7,VT,,,,2014/04/03 19:46:00,2014/04/03 19:48:00,0,LATE,Network Rail,LIV,EUS
train,22216000,L36196,4,LO,,,,2014/04/03 19:48:00,2014/04/03 19:48:00,0,EARLY,Network Rail,EUS,WFJ
train,22209000,G25161,9,LM,2014/04/03 19:49:00,2014/04/03 19:50:00,0,2014/04/03 19:48:00,2014/04/03 19:50:00,0,LATE,Network Rail,TRI,EUS
train,22209000,G25164,9,LM,2014/04/03 20:16:00,2014/04/03 20:16:00,0,2014/04/03 20:15:00,2014/04/03 20:14:00,-1,ON TIME,Network Rail,TRI,EUS
train,22213000,G23721,11,LM,,,,2014/04/03 20:16:00,2014/04/03 20:16:00,0,LATE,Network Rail,SAA,WFJ
train,24674005,W82076,8,SN,2014/04/03 20:23:00,2014/04/03 20:23:00,-1,2014/04/03 20:22:00,2014/04/03 20:21:00,-2,EARLY,Network Rail,ECR,MKC
train,22209000,G23973,9,LM,2014/04/03 20:27:00,2014/04/03 20:27:00,-1,2014/04/03 20:26:00,2014/04/03 20:25:00,-2,ON TIME,Network Rail,MKC,EUS
train,22216000,L36190,4,LO,,,,2014/04/03 20:28:00,2014/04/03 20:28:00,-1,EARLY,Network Rail,EUS,WFJ
train,12259320,G26958,7,LM,2014/04/03 20:30:00,2014/04/03 20:30:00,-1,2014/04/03 20:29:00,2014/04/03 20:29:00,-2,ON TIME,Network Rail,BHM,EUS
