mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22216000,L36096,1,LO,2014/04/04 16:49:00,2014/04/04 16:49:00,0,2014/04/04 16:49:00,2014/04/04 16:48:00,0,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36099,1,LO,2014/04/04 17:09:00,2014/04/04 17:09:00,0,2014/04/04 17:09:00,2014/04/04 17:08:00,0,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36217,2,LO,2014/04/04 17:16:00,2014/04/04 17:16:00,0,2014/04/04 17:16:00,2014/04/04 17:15:00,0,EARLY,Network Rail,EUS,WFJ
train,22216000,L36104,1,LO,2014/04/04 17:29:00,2014/04/04 17:29:00,0,2014/04/04 17:29:00,2014/04/04 17:28:00,0,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36214,2,LO,2014/04/04 17:36:00,2014/04/04 17:36:00,0,2014/04/04 17:36:00,2014/04/04 17:35:00,0,EARLY,Network Rail,EUS,WFJ
train,22216000,L36105,1,LO,2014/04/04 17:49:00,2014/04/04 17:49:00,0,2014/04/04 17:49:00,2014/04/04 17:48:00,0,EARLY,Network Rail,WFJ,EUS
train,22216000,L36211,2,LO,2014/04/04 17:56:00,2014/04/04 17:56:00,0,2014/04/04 17:56:00,2014/04/04 17:55:00,0,EARLY,Network Rail,EUS,WFJ
train,22216000,L36108,1,LO,2014/04/04 18:09:00,2014/04/04 18:09:00,12,2014/04/04 18:09:00,2014/04/04 18:08:00,12,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36208,2,LO,2014/04/04 18:16:00,2014/04/04 18:17:00,20,2014/04/04 18:16:00,2014/04/04 18:17:00,20,LATE,Network Rail,EUS,WFJ
train,22216000,L36113,1,LO,2014/04/04 18:29:00,2014/04/04 18:29:00,32,2014/04/04 18:29:00,2014/04/04 18:29:00,32,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36205,2,LO,2014/04/04 18:36:00,2014/04/04 18:36:00,39,2014/04/04 18:36:00,2014/04/04 18:36:00,39,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36115,1,LO,2014/04/04 18:49:00,2014/04/04 18:49:00,52,2014/04/04 18:49:00,2014/04/04 18:49:00,52,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36202,2,LO,2014/04/04 18:56:00,2014/04/04 18:56:00,59,2014/04/04 18:56:00,2014/04/04 18:56:00,59,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36117,1,LO,2014/04/04 19:09:00,2014/04/04 19:09:00,72,2014/04/04 19:09:00,2014/04/04 19:09:00,72,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36199,2,LO,2014/04/04 19:16:00,2014/04/04 19:16:00,79,2014/04/04 19:16:00,2014/04/04 19:16:00,79,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36122,1,LO,2014/04/04 19:29:00,2014/04/04 19:29:00,92,2014/04/04 19:29:00,2014/04/04 19:29:00,92,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36196,2,LO,2014/04/04 19:36:00,2014/04/04 19:36:00,99,2014/04/04 19:36:00,2014/04/04 19:36:00,99,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36124,1,LO,2014/04/04 19:49:00,2014/04/04 19:49:00,112,2014/04/04 19:49:00,2014/04/04 19:49:00,112,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36193,2,LO,2014/04/04 19:54:00,2014/04/04 19:54:00,117,2014/04/04 19:54:00,2014/04/04 19:54:00,117,ON TIME,Network Rail,EUS,WFJ
