mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22216000,L36217,2,LO,2014/04/04 17:11:00,2014/04/04 17:11:00,0,2014/04/04 17:11:00,2014/04/04 17:10:00,0,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36099,1,LO,2014/04/04 17:14:00,2014/04/04 17:14:00,0,2014/04/04 17:14:00,2014/04/04 17:13:00,0,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36214,2,LO,2014/04/04 17:31:00,2014/04/04 17:31:00,0,2014/04/04 17:31:00,2014/04/04 17:30:00,0,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36104,1,LO,2014/04/04 17:34:00,2014/04/04 17:34:00,0,2014/04/04 17:34:00,2014/04/04 17:33:00,0,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36211,2,LO,2014/04/04 17:51:00,2014/04/04 17:51:00,0,2014/04/04 17:51:00,2014/04/04 17:50:00,0,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36105,1,LO,2014/04/04 17:54:00,2014/04/04 17:54:00,0,2014/04/04 17:54:00,2014/04/04 17:53:00,0,EARLY,Network Rail,WFJ,EUS
train,22216000,L36208,2,LO,2014/04/04 18:11:00,2014/04/04 18:12:00,17,2014/04/04 18:10:00,2014/04/04 18:12:00,17,LATE,Network Rail,EUS,WFJ
train,22216000,L36108,1,LO,2014/04/04 18:14:00,2014/04/04 18:14:00,19,2014/04/04 18:14:00,2014/04/04 18:14:00,19,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36205,2,LO,2014/04/04 18:31:00,2014/04/04 18:31:00,36,2014/04/04 18:31:00,2014/04/04 18:31:00,36,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36113,1,LO,2014/04/04 18:34:00,2014/04/04 18:34:00,39,2014/04/04 18:34:00,2014/04/04 18:34:00,39,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36202,2,LO,2014/04/04 18:51:00,2014/04/04 18:51:00,56,2014/04/04 18:51:00,2014/04/04 18:51:00,56,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36115,1,LO,2014/04/04 18:54:00,2014/04/04 18:54:00,59,2014/04/04 18:54:00,2014/04/04 18:54:00,59,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36199,2,LO,2014/04/04 19:11:00,2014/04/04 19:11:00,76,2014/04/04 19:11:00,2014/04/04 19:11:00,76,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36117,1,LO,2014/04/04 19:14:00,2014/04/04 19:14:00,79,2014/04/04 19:14:00,2014/04/04 19:14:00,79,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36196,2,LO,2014/04/04 19:31:00,2014/04/04 19:31:00,96,2014/04/04 19:31:00,2014/04/04 19:31:00,96,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36122,1,LO,2014/04/04 19:34:00,2014/04/04 19:34:00,99,2014/04/04 19:34:00,2014/04/04 19:34:00,99,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36193,2,LO,2014/04/04 19:49:00,2014/04/04 19:49:00,114,2014/04/04 19:49:00,2014/04/04 19:49:00,114,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36124,1,LO,2014/04/04 19:54:00,2014/04/04 19:54:00,119,2014/04/04 19:54:00,2014/04/04 19:54:00,119,ON TIME,Network Rail,WFJ,EUS
