mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,24680004,L31124,1,LT,2014/04/04 17:25:00,2014/04/04 17:25:00,0,2014/04/04 17:25:00,2014/04/04 17:24:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31795,2,LT,2014/04/04 17:28:00,2014/04/04 17:28:00,0,2014/04/04 17:28:00,2014/04/04 17:27:00,0,EARLY,Network Rail,EPH,HRW
train,22216000,L36099,1,LO,2014/04/04 17:30:00,2014/04/04 17:30:00,0,2014/04/04 17:30:00,2014/04/04 17:29:00,0,EARLY,Network Rail,WFJ,EUS
train,22216000,L36211,2,LO,2014/04/04 17:34:00,2014/04/04 17:34:00,0,2014/04/04 17:34:00,2014/04/04 17:33:00,0,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31408,1,LT,2014/04/04 17:35:00,2014/04/04 17:35:00,0,2014/04/04 17:35:00,2014/04/04 17:34:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31830,2,LT,2014/04/04 17:38:00,2014/04/04 17:38:00,0,2014/04/04 17:38:00,2014/04/04 17:37:00,0,EARLY,Network Rail,EPH,HRW
train,24680004,L31136,1,LT,2014/04/04 17:41:00,2014/04/04 17:41:00,0,2014/04/04 17:41:00,2014/04/04 17:40:00,0,LATE,Network Rail,SBP,EPH
train,24680004,L31489,2,LT,2014/04/04 17:42:00,2014/04/04 17:42:00,0,2014/04/04 17:42:00,2014/04/04 17:41:00,0,EARLY,Network Rail,EPH,SBP
train,24680004,L31240,1,LT,2014/04/04 17:45:00,2014/04/04 17:45:00,0,2014/04/04 17:45:00,2014/04/04 17:44:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31657,2,LT,2014/04/04 17:48:00,2014/04/04 17:48:00,0,2014/04/04 17:48:00,2014/04/04 17:47:00,0,LATE,Network Rail,EPH,HRW
