mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,24680004,L31626,1,LT,,,,2014/04/04 13:19:00,2014/04/04 13:22:00,2,LATE,Network Rail,EPH,HRW
train,22209000,G25190,6,LM,2014/04/04 13:24:00,2014/04/04 13:24:00,0,2014/04/04 13:24:00,2014/04/04 13:23:00,0,ON TIME,Network Rail,TRI,EUS
train,22216000,L36249,1,LO,2014/04/04 13:26:00,2014/04/04 13:26:00,0,2014/04/04 13:26:00,2014/04/04 13:25:00,0,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31796,1,LT,,,,2014/04/04 13:31:00,2014/04/04 13:30:00,0,ON TIME,Network Rail,EPH,HRW
train,22216000,L36067,2,LO,2014/04/04 13:37:00,2014/04/04 13:37:00,0,2014/04/04 13:37:00,2014/04/04 13:36:00,0,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31855,1,LT,,,,2014/04/04 13:41:00,2014/04/04 13:40:00,-1,ON TIME,Network Rail,EPH,HRW
train,24680004,L31753,1,LT,,,,2014/04/04 16:20:00,2014/04/04 16:19:00,0,ON TIME,Network Rail,EPH,HRW
train,24680004,L31857,1,LT,,,,2014/04/04 17:12:00,2014/04/04 17:12:00,0,ON TIME,Network Rail,EPH,HRW
train,22209000,G25446,5,LM,2014/04/04 17:06:00,2014/04/04 17:16:00,0,2014/04/04 17:05:00,2014/04/04 17:16:00,0,LATE,Network Rail,EUS,TRI
train,24674005,W82069,5,SN,2014/04/04 17:14:00,2014/04/04 17:21:00,0,2014/04/04 17:13:00,2014/04/04 17:21:00,0,LATE,Network Rail,SCY,MKC
train,22216000,L36099,2,LO,2014/04/04 17:17:00,2014/04/04 17:17:00,0,2014/04/04 17:17:00,2014/04/04 17:17:00,0,ON TIME,Network Rail,WFJ,EUS
train,22209000,G25447,5,LM,2014/04/04 17:19:00,2014/04/04 17:25:00,0,2014/04/04 17:17:00,2014/04/04 17:24:00,-1,LATE,Network Rail,EUS,MKC
train,24680004,L31724,1,LT,,,,2014/04/04 17:22:00,2014/04/04 17:22:00,0,EARLY,Network Rail,EPH,HRW
train,22209000,G25140,6,LM,2014/04/04 17:24:00,2014/04/04 17:25:00,0,2014/04/04 17:24:00,2014/04/04 17:25:00,0,LATE,Network Rail,TRI,EUS
train,22209000,G25255,5,LM,2014/04/04 17:25:00,2014/04/04 17:28:00,0,2014/04/04 17:23:00,2014/04/04 17:27:00,-1,LATE,Network Rail,EUS,TRI
train,22216000,L36214,1,LO,2014/04/04 17:28:00,2014/04/04 17:28:00,0,2014/04/04 17:27:00,2014/04/04 17:27:00,-1,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31576,1,LT,,,,2014/04/04 17:32:00,2014/04/04 17:31:00,0,ON TIME,Network Rail,EPH,HRW
train,22216000,L36104,2,LO,2014/04/04 17:37:00,2014/04/04 17:38:00,0,2014/04/04 17:36:00,2014/04/04 17:38:00,0,LATE,Network Rail,WFJ,EUS
train,24680004,L31795,1,LT,,,,2014/04/04 17:42:00,2014/04/04 17:41:00,0,ON TIME,Network Rail,EPH,HRW
train,22209000,G23943,5,LM,2014/04/04 17:46:00,2014/04/04 17:46:00,0,2014/04/04 17:46:00,2014/04/04 17:45:00,0,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36211,1,LO,2014/04/04 17:48:00,2014/04/04 17:48:00,0,2014/04/04 17:47:00,2014/04/04 17:46:00,-1,ON TIME,Network Rail,EUS,WFJ
