mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22216000,L36099,1,LO,2014/04/04 17:12:00,2014/04/04 17:12:00,0,2014/04/04 17:12:00,2014/04/04 17:11:00,0,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36217,2,LO,2014/04/04 17:13:00,2014/04/04 17:13:00,0,2014/04/04 17:13:00,2014/04/04 17:12:00,0,EARLY,Network Rail,EUS,WFJ
train,22216000,L36104,1,LO,2014/04/04 17:32:00,2014/04/04 17:32:00,0,2014/04/04 17:32:00,2014/04/04 17:31:00,0,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36214,2,LO,2014/04/04 17:33:00,2014/04/04 17:33:00,0,2014/04/04 17:33:00,2014/04/04 17:32:00,0,EARLY,Network Rail,EUS,WFJ
train,22216000,L36105,1,LO,2014/04/04 17:52:00,2014/04/04 17:52:00,0,2014/04/04 17:52:00,2014/04/04 17:51:00,0,EARLY,Network Rail,WFJ,EUS
train,22216000,L36211,2,LO,2014/04/04 17:53:00,2014/04/04 17:53:00,0,2014/04/04 17:53:00,2014/04/04 17:52:00,0,EARLY,Network Rail,EUS,WFJ
train,22216000,L36108,1,LO,2014/04/04 18:12:00,2014/04/04 18:12:00,18,2014/04/04 18:12:00,2014/04/04 18:11:00,18,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36208,2,LO,2014/04/04 18:13:00,2014/04/04 18:14:00,20,2014/04/04 18:13:00,2014/04/04 18:14:00,20,LATE,Network Rail,EUS,WFJ
train,22216000,L36113,1,LO,2014/04/04 18:32:00,2014/04/04 18:32:00,38,2014/04/04 18:32:00,2014/04/04 18:32:00,38,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36205,2,LO,2014/04/04 18:33:00,2014/04/04 18:33:00,39,2014/04/04 18:33:00,2014/04/04 18:33:00,39,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36115,1,LO,2014/04/04 18:52:00,2014/04/04 18:52:00,58,2014/04/04 18:52:00,2014/04/04 18:52:00,58,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36202,2,LO,2014/04/04 18:53:00,2014/04/04 18:53:00,59,2014/04/04 18:53:00,2014/04/04 18:53:00,59,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36117,1,LO,2014/04/04 19:12:00,2014/04/04 19:12:00,78,2014/04/04 19:12:00,2014/04/04 19:12:00,78,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36199,2,LO,2014/04/04 19:13:00,2014/04/04 19:13:00,79,2014/04/04 19:13:00,2014/04/04 19:13:00,79,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36122,1,LO,2014/04/04 19:32:00,2014/04/04 19:32:00,98,2014/04/04 19:32:00,2014/04/04 19:32:00,98,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36196,2,LO,2014/04/04 19:33:00,2014/04/04 19:33:00,99,2014/04/04 19:33:00,2014/04/04 19:33:00,99,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36193,2,LO,2014/04/04 19:51:00,2014/04/04 19:51:00,117,2014/04/04 19:51:00,2014/04/04 19:51:00,117,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36124,1,LO,2014/04/04 19:52:00,2014/04/04 19:52:00,118,2014/04/04 19:52:00,2014/04/04 19:52:00,118,ON TIME,Network Rail,WFJ,EUS
