mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22216000,L36099,,LO,2014/04/04 17:39:00,2014/04/04 17:39:00,0,2014/04/04 17:39:00,2014/04/04 17:38:00,0,EARLY,Network Rail,WFJ,EUS
train,22216000,L36208,2,LO,2014/04/04 17:44:00,2014/04/04 17:44:00,0,2014/04/04 17:44:00,2014/04/04 17:43:00,0,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36104,,LO,2014/04/04 17:59:00,2014/04/04 18:00:00,1,2014/04/04 17:58:00,2014/04/04 18:00:00,1,LATE,Network Rail,WFJ,EUS
train,22216000,L36205,2,LO,2014/04/04 18:04:00,2014/04/04 18:04:00,5,2014/04/04 18:04:00,2014/04/04 18:04:00,5,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36105,,LO,2014/04/04 18:19:00,2014/04/04 18:19:00,20,2014/04/04 18:19:00,2014/04/04 18:19:00,20,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36202,2,LO,2014/04/04 18:24:00,2014/04/04 18:24:00,25,2014/04/04 18:24:00,2014/04/04 18:24:00,25,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36108,,LO,2014/04/04 18:39:00,2014/04/04 18:39:00,40,2014/04/04 18:39:00,2014/04/04 18:39:00,40,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36199,2,LO,2014/04/04 18:44:00,2014/04/04 18:44:00,45,2014/04/04 18:44:00,2014/04/04 18:44:00,45,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36113,,LO,2014/04/04 18:59:00,2014/04/04 18:59:00,60,2014/04/04 18:59:00,2014/04/04 18:59:00,60,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36196,2,LO,2014/04/04 19:04:00,2014/04/04 19:04:00,65,2014/04/04 19:04:00,2014/04/04 19:04:00,65,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36115,,LO,2014/04/04 19:19:00,2014/04/04 19:19:00,80,2014/04/04 19:19:00,2014/04/04 19:19:00,80,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36193,2,LO,2014/04/04 19:24:00,2014/04/04 19:24:00,85,2014/04/04 19:24:00,2014/04/04 19:24:00,85,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36117,,LO,2014/04/04 19:39:00,2014/04/04 19:39:00,100,2014/04/04 19:39:00,2014/04/04 19:39:00,100,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36190,2,LO,2014/04/04 19:44:00,2014/04/04 19:44:00,105,2014/04/04 19:44:00,2014/04/04 19:44:00,105,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36122,,LO,2014/04/04 19:59:00,2014/04/04 19:59:00,120,2014/04/04 19:59:00,2014/04/04 19:59:00,120,ON TIME,Network Rail,WFJ,EUS
