mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,24680004,L31124,1,LT,2014/04/04 17:14:00,2014/04/04 17:14:00,0,2014/04/04 17:14:00,2014/04/04 17:13:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31724,2,LT,2014/04/04 17:19:00,2014/04/04 17:19:00,0,2014/04/04 17:19:00,2014/04/04 17:18:00,0,EARLY,Network Rail,EPH,HRW
train,22216000,L36099,1,LO,2014/04/04 17:19:00,2014/04/04 17:19:00,0,2014/04/04 17:19:00,2014/04/04 17:19:00,0,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31408,1,LT,2014/04/04 17:24:00,2014/04/04 17:24:00,0,2014/04/04 17:24:00,2014/04/04 17:23:00,0,ON TIME,Network Rail,HRW,EPH
train,22216000,L36214,2,LO,2014/04/04 17:25:00,2014/04/04 17:26:00,0,2014/04/04 17:24:00,2014/04/04 17:26:00,0,LATE,Network Rail,EUS,WFJ
train,24680004,L31576,2,LT,2014/04/04 17:29:00,2014/04/04 17:29:00,0,2014/04/04 17:29:00,2014/04/04 17:28:00,0,EARLY,Network Rail,EPH,HRW
train,24680004,L31240,1,LT,2014/04/04 17:34:00,2014/04/04 17:35:00,1,2014/04/04 17:33:00,2014/04/04 17:35:00,1,LATE,Network Rail,HRW,EPH
train,24680004,L31795,2,LT,2014/04/04 17:39:00,2014/04/04 17:39:00,0,2014/04/04 17:39:00,2014/04/04 17:38:00,0,EARLY,Network Rail,EPH,HRW
train,22216000,L36104,1,LO,2014/04/04 17:39:00,2014/04/04 17:40:00,0,2014/04/04 17:38:00,2014/04/04 17:40:00,0,LATE,Network Rail,WFJ,EUS
train,24680004,L31032,1,LT,2014/04/04 17:44:00,2014/04/04 17:44:00,0,2014/04/04 17:44:00,2014/04/04 17:43:00,0,ON TIME,Network Rail,HRW,EPH
train,22216000,L36211,2,LO,2014/04/04 17:45:00,2014/04/04 17:45:00,0,2014/04/04 17:45:00,2014/04/04 17:44:00,0,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31830,2,LT,2014/04/04 17:50:00,2014/04/04 17:50:00,0,2014/04/04 17:50:00,2014/04/04 17:49:00,0,NO REPORT,Network Rail,EPH,HRW
train,24680004,L31321,1,LT,2014/04/04 17:54:00,2014/04/04 17:54:00,0,2014/04/04 17:54:00,2014/04/04 17:53:00,0,EARLY,Network Rail,HRW,EPH
train,22216000,L36105,1,LO,2014/04/04 17:59:00,2014/04/04 17:59:00,0,2014/04/04 17:59:00,2014/04/04 17:58:00,0,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31657,2,LT,2014/04/04 17:59:00,2014/04/04 17:59:00,0,2014/04/04 17:59:00,2014/04/04 17:59:00,0,LATE,Network Rail,EPH,HRW
train,24680004,L31373,1,LT,2014/04/04 18:04:00,2014/04/04 18:04:00,5,2014/04/04 18:04:00,2014/04/04 18:04:00,5,ON TIME,Network Rail,HRW,EPH
train,22216000,L36208,2,LO,2014/04/04 18:05:00,2014/04/04 18:06:00,7,2014/04/04 18:05:00,2014/04/04 18:06:00,7,LATE,Network Rail,EUS,WFJ
train,24680004,L31849,2,LT,2014/04/04 18:09:00,2014/04/04 18:09:00,10,2014/04/04 18:09:00,2014/04/04 18:09:00,10,EARLY,Network Rail,EPH,HRW
train,24680004,L31148,1,LT,2014/04/04 18:14:00,2014/04/04 18:14:00,15,2014/04/04 18:14:00,2014/04/04 18:14:00,15,ON TIME,Network Rail,HRW,EPH
train,22216000,L36108,1,LO,2014/04/04 18:19:00,2014/04/04 18:19:00,20,2014/04/04 18:19:00,2014/04/04 18:19:00,20,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31681,2,LT,2014/04/04 18:19:00,2014/04/04 18:19:00,20,2014/04/04 18:19:00,2014/04/04 18:19:00,20,NO REPORT,Network Rail,EPH,HRW
train,24680004,L31400,1,LT,2014/04/04 18:24:00,2014/04/04 18:24:00,25,2014/04/04 18:24:00,2014/04/04 18:24:00,25,ON TIME,Network Rail,HRW,EPH
train,22216000,L36205,2,LO,2014/04/04 18:25:00,2014/04/04 18:25:00,26,2014/04/04 18:25:00,2014/04/04 18:25:00,26,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31648,2,LT,2014/04/04 18:29:00,2014/04/04 18:29:00,30,2014/04/04 18:29:00,2014/04/04 18:29:00,30,LATE,Network Rail,EPH,HRW
train,24680004,L31177,1,LT,2014/04/04 18:34:00,2014/04/04 18:34:00,35,2014/04/04 18:34:00,2014/04/04 18:34:00,35,ON TIME,Network Rail,HRW,EPH
train,22216000,L36113,1,LO,2014/04/04 18:39:00,2014/04/04 18:39:00,40,2014/04/04 18:39:00,2014/04/04 18:39:00,40,ON TIME,Network Rail,WFJ,EUS
