mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,24680004,L31124,1,LT,2014/04/04 17:18:00,2014/04/04 17:18:00,0,2014/04/04 17:18:00,2014/04/04 17:17:00,0,ON TIME,Network Rail,HRW,EPH
train,22216000,L36214,2,LO,2014/04/04 17:21:00,2014/04/04 17:21:00,0,2014/04/04 17:21:00,2014/04/04 17:20:00,0,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36099,1,LO,2014/04/04 17:23:00,2014/04/04 17:23:00,0,2014/04/04 17:23:00,2014/04/04 17:22:00,0,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31576,2,LT,2014/04/04 17:25:00,2014/04/04 17:25:00,0,2014/04/04 17:25:00,2014/04/04 17:24:00,0,EARLY,Network Rail,EPH,HRW
train,24680004,L31408,1,LT,2014/04/04 17:28:00,2014/04/04 17:28:00,0,2014/04/04 17:28:00,2014/04/04 17:27:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31795,2,LT,2014/04/04 17:35:00,2014/04/04 17:35:00,0,2014/04/04 17:35:00,2014/04/04 17:34:00,0,EARLY,Network Rail,EPH,HRW
train,24680004,L31240,1,LT,2014/04/04 17:38:00,2014/04/04 17:38:00,0,2014/04/04 17:38:00,2014/04/04 17:37:00,0,NO REPORT,Network Rail,HRW,EPH
train,22216000,L36211,2,LO,2014/04/04 17:41:00,2014/04/04 17:41:00,0,2014/04/04 17:41:00,2014/04/04 17:40:00,0,EARLY,Network Rail,EUS,WFJ
train,22216000,L36104,1,LO,2014/04/04 17:43:00,2014/04/04 17:45:00,0,2014/04/04 17:42:00,2014/04/04 17:45:00,0,LATE,Network Rail,WFJ,EUS
train,24680004,L31830,2,LT,2014/04/04 17:46:00,2014/04/04 17:46:00,0,2014/04/04 17:46:00,2014/04/04 17:45:00,0,NO REPORT,Network Rail,EPH,HRW
train,24680004,L31032,1,LT,2014/04/04 17:48:00,2014/04/04 17:49:00,0,2014/04/04 17:47:00,2014/04/04 17:49:00,0,LATE,Network Rail,HRW,EPH
