mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,24680004,L31489,3,LT,2014/04/04 17:34:00,2014/04/04 17:34:00,0,2014/04/04 17:34:00,2014/04/04 17:33:00,0,EARLY,Network Rail,EPH,SBP
train,24680004,L31124,2,LT,2014/04/04 17:35:00,2014/04/04 17:35:00,0,2014/04/04 17:34:00,2014/04/04 17:33:00,-1,EARLY,Network Rail,HRW,EPH
train,22216000,L36099,1,LO,2014/04/04 17:37:00,2014/04/04 17:37:00,0,2014/04/04 17:37:00,2014/04/04 17:36:00,0,EARLY,Network Rail,WFJ,EUS
train,24680004,L31657,3,LT,2014/04/04 17:40:00,2014/04/04 17:40:00,0,2014/04/04 17:40:00,2014/04/04 17:39:00,0,LATE,Network Rail,EPH,HRW
train,24680004,L31408,2,LT,2014/04/04 17:44:00,2014/04/04 17:44:00,0,2014/04/04 17:43:00,2014/04/04 17:42:00,-1,EARLY,Network Rail,HRW,EPH
train,22216000,L36208,4,LO,2014/04/04 17:47:00,2014/04/04 17:47:00,0,2014/04/04 17:46:00,2014/04/04 17:45:00,-1,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31849,3,LT,2014/04/04 17:49:00,2014/04/04 17:49:00,0,2014/04/04 17:48:00,2014/04/04 17:47:00,-1,LATE,Network Rail,EPH,HRW
train,24680004,L31136,2,LT,2014/04/04 17:49:00,2014/04/04 17:49:00,0,2014/04/04 17:49:00,2014/04/04 17:49:00,0,LATE,Network Rail,SBP,EPH
train,24680004,L31509,3,LT,2014/04/04 17:54:00,2014/04/04 17:54:00,0,2014/04/04 17:54:00,2014/04/04 17:53:00,0,EARLY,Network Rail,EPH,SBP
train,24680004,L31240,2,LT,2014/04/04 17:55:00,2014/04/04 17:55:00,0,2014/04/04 17:54:00,2014/04/04 17:53:00,-1,NO REPORT,Network Rail,HRW,EPH
train,22216000,L36104,1,LO,2014/04/04 17:57:00,2014/04/04 17:59:00,1,2014/04/04 17:56:00,2014/04/04 17:59:00,1,LATE,Network Rail,WFJ,EUS
train,24680004,L31681,3,LT,2014/04/04 18:00:00,2014/04/04 18:00:00,1,2014/04/04 18:00:00,2014/04/04 17:59:00,1,EARLY,Network Rail,EPH,HRW
train,24680004,L31032,2,LT,2014/04/04 18:04:00,2014/04/04 18:05:00,6,2014/04/04 18:04:00,2014/04/04 18:05:00,6,LATE,Network Rail,HRW,EPH
train,22216000,L36205,4,LO,2014/04/04 18:07:00,2014/04/04 18:07:00,8,2014/04/04 18:06:00,2014/04/04 18:06:00,7,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31261,2,LT,2014/04/04 18:09:00,2014/04/04 18:09:00,10,2014/04/04 18:08:00,2014/04/04 18:08:00,9,ON TIME,Network Rail,SBP,EPH
train,24680004,L31648,3,LT,2014/04/04 18:09:00,2014/04/04 18:09:00,10,2014/04/04 18:08:00,2014/04/04 18:08:00,9,LATE,Network Rail,EPH,HRW
