mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,24680004,L31124,,LT,2014/04/04 17:23:00,2014/04/04 17:23:00,0,2014/04/04 17:23:00,2014/04/04 17:22:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31506,,LT,,,,2014/04/04 17:25:00,2014/04/04 17:24:00,0,EARLY,Network Rail,EPH,SBP
train,22216000,L36099,,LO,2014/04/04 17:28:00,2014/04/04 17:28:00,0,2014/04/04 17:28:00,2014/04/04 17:27:00,0,NO REPORT,Network Rail,WFJ,EUS
train,24680004,L31795,,LT,2014/04/04 17:31:00,2014/04/04 17:31:00,0,2014/04/04 17:31:00,2014/04/04 17:30:00,0,EARLY,Network Rail,EPH,HRW
train,24680004,L31408,,LT,2014/04/04 17:33:00,2014/04/04 17:34:00,0,2014/04/04 17:32:00,2014/04/04 17:34:00,0,LATE,Network Rail,HRW,EPH
train,22216000,L36211,,LO,2014/04/04 17:36:00,2014/04/04 17:36:00,0,2014/04/04 17:36:00,2014/04/04 17:35:00,0,EARLY,Network Rail,EUS,WFJ
train,24680004,L31830,,LT,2014/04/04 17:41:00,2014/04/04 17:41:00,0,2014/04/04 17:41:00,2014/04/04 17:40:00,0,EARLY,Network Rail,EPH,HRW
train,24680004,L31240,,LT,2014/04/04 17:43:00,2014/04/04 17:44:00,0,2014/04/04 17:42:00,2014/04/04 17:44:00,0,LATE,Network Rail,HRW,EPH
train,24680004,L31489,,LT,,,,2014/04/04 17:45:00,2014/04/04 17:44:00,0,EARLY,Network Rail,EPH,SBP
train,22216000,L36104,,LO,2014/04/04 17:48:00,2014/04/04 17:50:00,0,2014/04/04 17:47:00,2014/04/04 17:50:00,0,LATE,Network Rail,WFJ,EUS
train,24680004,L31657,,LT,2014/04/04 17:51:00,2014/04/04 17:51:00,0,2014/04/04 17:51:00,2014/04/04 17:50:00,0,LATE,Network Rail,EPH,HRW
train,24680004,L31032,,LT,2014/04/04 17:53:00,2014/04/04 17:54:00,0,2014/04/04 17:52:00,2014/04/04 17:54:00,0,LATE,Network Rail,HRW,EPH
train,22216000,L36208,,LO,2014/04/04 17:56:00,2014/04/04 17:57:00,0,2014/04/04 17:55:00,2014/04/04 17:57:00,0,LATE,Network Rail,EUS,WFJ
train,24680004,L31849,,LT,2014/04/04 18:01:00,2014/04/04 18:01:00,3,2014/04/04 18:01:00,2014/04/04 18:00:00,3,EARLY,Network Rail,EPH,HRW
train,24680004,L31321,,LT,2014/04/04 18:03:00,2014/04/04 18:03:00,5,2014/04/04 18:03:00,2014/04/04 18:03:00,5,EARLY,Network Rail,HRW,EPH
train,24680004,L31509,,LT,,,,2014/04/04 18:05:00,2014/04/04 18:06:00,8,LATE,Network Rail,EPH,SBP
train,22216000,L36105,,LO,2014/04/04 18:08:00,2014/04/04 18:08:00,10,2014/04/04 18:08:00,2014/04/04 18:08:00,10,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31681,,LT,2014/04/04 18:11:00,2014/04/04 18:11:00,13,2014/04/04 18:11:00,2014/04/04 18:11:00,13,NO REPORT,Network Rail,EPH,HRW
train,24680004,L31373,,LT,2014/04/04 18:13:00,2014/04/04 18:13:00,15,2014/04/04 18:13:00,2014/04/04 18:13:00,15,ON TIME,Network Rail,HRW,EPH
train,22216000,L36205,,LO,2014/04/04 18:16:00,2014/04/04 18:16:00,18,2014/04/04 18:16:00,2014/04/04 18:16:00,18,ON TIME,Network Rail,EUS,WFJ
