mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22216000,L36099,1,LO,2014/04/04 17:41:00,2014/04/04 17:41:00,0,2014/04/04 17:41:00,2014/04/04 17:40:00,0,NO REPORT,Network Rail,WFJ,EUS
train,22216000,L36208,2,LO,2014/04/04 17:43:00,2014/04/04 17:43:00,0,2014/04/04 17:43:00,2014/04/04 17:42:00,0,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36104,1,LO,2014/04/04 18:01:00,2014/04/04 18:03:00,19,2014/04/04 18:00:00,2014/04/04 18:03:00,19,LATE,Network Rail,WFJ,EUS
train,22216000,L36205,2,LO,2014/04/04 18:03:00,2014/04/04 18:03:00,19,2014/04/04 18:03:00,2014/04/04 18:03:00,19,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36105,1,LO,2014/04/04 18:21:00,2014/04/04 18:21:00,37,2014/04/04 18:21:00,2014/04/04 18:21:00,37,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36202,2,LO,2014/04/04 18:23:00,2014/04/04 18:23:00,39,2014/04/04 18:23:00,2014/04/04 18:23:00,39,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36108,1,LO,2014/04/04 18:41:00,2014/04/04 18:41:00,57,2014/04/04 18:41:00,2014/04/04 18:41:00,57,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36199,2,LO,2014/04/04 18:43:00,2014/04/04 18:43:00,59,2014/04/04 18:43:00,2014/04/04 18:43:00,59,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36113,1,LO,2014/04/04 19:01:00,2014/04/04 19:01:00,77,2014/04/04 19:01:00,2014/04/04 19:01:00,77,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36196,2,LO,2014/04/04 19:03:00,2014/04/04 19:03:00,79,2014/04/04 19:03:00,2014/04/04 19:03:00,79,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36115,1,LO,2014/04/04 19:21:00,2014/04/04 19:21:00,97,2014/04/04 19:21:00,2014/04/04 19:21:00,97,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36193,2,LO,2014/04/04 19:23:00,2014/04/04 19:23:00,99,2014/04/04 19:23:00,2014/04/04 19:23:00,99,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36117,1,LO,2014/04/04 19:41:00,2014/04/04 19:41:00,117,2014/04/04 19:41:00,2014/04/04 19:41:00,117,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36190,2,LO,2014/04/04 19:43:00,2014/04/04 19:43:00,119,2014/04/04 19:43:00,2014/04/04 19:43:00,119,ON TIME,Network Rail,EUS,WFJ
