mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,24680004,L31124,1,LT,2014/04/04 17:16:00,2014/04/04 17:16:00,0,2014/04/04 17:16:00,2014/04/04 17:15:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31724,2,LT,2014/04/04 17:17:00,2014/04/04 17:17:00,0,2014/04/04 17:17:00,2014/04/04 17:16:00,0,EARLY,Network Rail,EPH,HRW
train,22216000,L36099,1,LO,2014/04/04 17:21:00,2014/04/04 17:21:00,0,2014/04/04 17:21:00,2014/04/04 17:20:00,0,NO REPORT,Network Rail,WFJ,EUS
train,22216000,L36214,2,LO,2014/04/04 17:23:00,2014/04/04 17:24:00,0,2014/04/04 17:22:00,2014/04/04 17:24:00,0,LATE,Network Rail,EUS,WFJ
train,24680004,L31408,1,LT,2014/04/04 17:26:00,2014/04/04 17:26:00,0,2014/04/04 17:26:00,2014/04/04 17:25:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31576,2,LT,2014/04/04 17:27:00,2014/04/04 17:27:00,0,2014/04/04 17:27:00,2014/04/04 17:26:00,0,EARLY,Network Rail,EPH,HRW
train,24680004,L31240,1,LT,2014/04/04 17:36:00,2014/04/04 17:37:00,0,2014/04/04 17:35:00,2014/04/04 17:37:00,0,LATE,Network Rail,HRW,EPH
train,24680004,L31795,2,LT,2014/04/04 17:37:00,2014/04/04 17:37:00,0,2014/04/04 17:37:00,2014/04/04 17:37:00,0,EARLY,Network Rail,EPH,HRW
train,22216000,L36104,1,LO,2014/04/04 17:41:00,2014/04/04 17:43:00,0,2014/04/04 17:40:00,2014/04/04 17:43:00,0,LATE,Network Rail,WFJ,EUS
train,22216000,L36211,2,LO,2014/04/04 17:43:00,2014/04/04 17:43:00,0,2014/04/04 17:43:00,2014/04/04 17:43:00,0,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31032,1,LT,2014/04/04 17:46:00,2014/04/04 17:46:00,0,2014/04/04 17:46:00,2014/04/04 17:45:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31830,2,LT,2014/04/04 17:48:00,2014/04/04 17:48:00,0,2014/04/04 17:48:00,2014/04/04 17:47:00,0,EARLY,Network Rail,EPH,HRW
train,24680004,L31321,1,LT,2014/04/04 17:56:00,2014/04/04 17:56:00,0,2014/04/04 17:56:00,2014/04/04 17:55:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31657,2,LT,2014/04/04 17:57:00,2014/04/04 17:57:00,0,2014/04/04 17:57:00,2014/04/04 17:56:00,0,LATE,Network Rail,EPH,HRW
train,22216000,L36105,1,LO,2014/04/04 18:01:00,2014/04/04 18:01:00,3,2014/04/04 18:01:00,2014/04/04 18:00:00,3,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36208,2,LO,2014/04/04 18:03:00,2014/04/04 18:04:00,6,2014/04/04 18:03:00,2014/04/04 18:04:00,6,LATE,Network Rail,EUS,WFJ
train,24680004,L31373,1,LT,2014/04/04 18:06:00,2014/04/04 18:06:00,8,2014/04/04 18:06:00,2014/04/04 18:06:00,8,ON TIME,Network Rail,HRW,EPH
train,24680004,L31849,2,LT,2014/04/04 18:07:00,2014/04/04 18:07:00,9,2014/04/04 18:07:00,2014/04/04 18:07:00,9,EARLY,Network Rail,EPH,HRW
train,24680004,L31148,1,LT,2014/04/04 18:16:00,2014/04/04 18:16:00,18,2014/04/04 18:16:00,2014/04/04 18:16:00,18,ON TIME,Network Rail,HRW,EPH
train,24680004,L31681,2,LT,2014/04/04 18:17:00,2014/04/04 18:17:00,19,2014/04/04 18:17:00,2014/04/04 18:17:00,19,EARLY,Network Rail,EPH,HRW
train,22216000,L36108,1,LO,2014/04/04 18:21:00,2014/04/04 18:21:00,23,2014/04/04 18:21:00,2014/04/04 18:21:00,23,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36205,2,LO,2014/04/04 18:23:00,2014/04/04 18:23:00,25,2014/04/04 18:23:00,2014/04/04 18:23:00,25,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31400,1,LT,2014/04/04 18:26:00,2014/04/04 18:26:00,28,2014/04/04 18:26:00,2014/04/04 18:26:00,28,ON TIME,Network Rail,HRW,EPH
train,24680004,L31648,2,LT,2014/04/04 18:27:00,2014/04/04 18:27:00,29,2014/04/04 18:27:00,2014/04/04 18:27:00,29,LATE,Network Rail,EPH,HRW
train,24680004,L31177,1,LT,2014/04/04 18:36:00,2014/04/04 18:36:00,38,2014/04/04 18:36:00,2014/04/04 18:36:00,38,ON TIME,Network Rail,HRW,EPH
train,24680004,L31817,2,LT,2014/04/04 18:37:00,2014/04/04 18:37:00,39,2014/04/04 18:37:00,2014/04/04 18:37:00,39,LATE,Network Rail,EPH,HRW
train,22216000,L36113,1,LO,2014/04/04 18:41:00,2014/04/04 18:41:00,43,2014/04/04 18:41:00,2014/04/04 18:41:00,43,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36202,2,LO,2014/04/04 18:43:00,2014/04/04 18:43:00,45,2014/04/04 18:43:00,2014/04/04 18:43:00,45,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31134,1,LT,2014/04/04 18:46:00,2014/04/04 18:46:00,48,2014/04/04 18:46:00,2014/04/04 18:46:00,48,ON TIME,Network Rail,HRW,EPH
train,24680004,L31587,2,LT,2014/04/04 18:47:00,2014/04/04 18:47:00,49,2014/04/04 18:47:00,2014/04/04 18:47:00,49,ON TIME,Network Rail,EPH,HRW
train,24680004,L31361,1,LT,2014/04/04 18:56:00,2014/04/04 18:56:00,58,2014/04/04 18:56:00,2014/04/04 18:56:00,58,ON TIME,Network Rail,HRW,EPH
train,24680004,L31701,2,LT,2014/04/04 18:57:00,2014/04/04 18:57:00,59,2014/04/04 18:57:00,2014/04/04 18:57:00,59,ON TIME,Network Rail,EPH,HRW
train,22216000,L36115,1,LO,2014/04/04 19:01:00,2014/04/04 19:01:00,63,2014/04/04 19:01:00,2014/04/04 19:01:00,63,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36199,2,LO,2014/04/04 19:03:00,2014/04/04 19:03:00,65,2014/04/04 19:03:00,2014/04/04 19:03:00,65,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31652,2,LT,2014/04/04 19:07:00,2014/04/04 19:07:00,69,2014/04/04 19:07:00,2014/04/04 19:07:00,69,ON TIME,Network Rail,EPH,HRW
train,24680004,L31041,1,LT,2014/04/04 19:08:00,2014/04/04 19:08:00,70,2014/04/04 19:08:00,2014/04/04 19:08:00,70,ON TIME,Network Rail,HRW,EPH
train,24680004,L31202,1,LT,2014/04/04 19:16:00,2014/04/04 19:16:00,78,2014/04/04 19:16:00,2014/04/04 19:16:00,78,ON TIME,Network Rail,HRW,EPH
train,24680004,L31666,2,LT,2014/04/04 19:17:00,2014/04/04 19:17:00,79,2014/04/04 19:17:00,2014/04/04 19:17:00,79,ON TIME,Network Rail,EPH,HRW
train,22216000,L36117,1,LO,2014/04/04 19:21:00,2014/04/04 19:21:00,83,2014/04/04 19:21:00,2014/04/04 19:21:00,83,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36196,2,LO,2014/04/04 19:23:00,2014/04/04 19:23:00,85,2014/04/04 19:23:00,2014/04/04 19:23:00,85,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31750,2,LT,2014/04/04 19:27:00,2014/04/04 19:27:00,89,2014/04/04 19:27:00,2014/04/04 19:27:00,89,ON TIME,Network Rail,EPH,HRW
train,24680004,L31137,1,LT,2014/04/04 19:29:00,2014/04/04 19:29:00,91,2014/04/04 19:29:00,2014/04/04 19:29:00,91,ON TIME,Network Rail,HRW,EPH
train,24680004,L31764,2,LT,2014/04/04 19:34:00,2014/04/04 19:34:00,96,2014/04/04 19:34:00,2014/04/04 19:34:00,96,ON TIME,Network Rail,EPH,HRW
train,24680004,L31164,1,LT,2014/04/04 19:36:00,2014/04/04 19:36:00,98,2014/04/04 19:36:00,2014/04/04 19:36:00,98,ON TIME,Network Rail,HRW,EPH
train,22216000,L36122,1,LO,2014/04/04 19:41:00,2014/04/04 19:41:00,103,2014/04/04 19:41:00,2014/04/04 19:41:00,103,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36193,2,LO,2014/04/04 19:42:00,2014/04/04 19:42:00,104,2014/04/04 19:42:00,2014/04/04 19:42:00,104,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31718,2,LT,2014/04/04 19:46:00,2014/04/04 19:46:00,108,2014/04/04 19:46:00,2014/04/04 19:46:00,108,ON TIME,Network Rail,EPH,HRW
train,24680004,L31260,1,LT,2014/04/04 19:47:00,2014/04/04 19:47:00,109,2014/04/04 19:47:00,2014/04/04 19:47:00,109,ON TIME,Network Rail,HRW,EPH
train,24680004,L31785,2,LT,2014/04/04 19:53:00,2014/04/04 19:53:00,115,2014/04/04 19:53:00,2014/04/04 19:53:00,115,ON TIME,Network Rail,EPH,HRW
train,24680004,L31297,1,LT,2014/04/04 19:56:00,2014/04/04 19:56:00,118,2014/04/04 19:56:00,2014/04/04 19:56:00,118,ON TIME,Network Rail,HRW,EPH
