mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22214000,L37159,4,LO,2014/04/04 17:26:00,2014/04/04 17:27:00,0,2014/04/04 17:24:00,2014/04/04 17:26:00,-1,LATE,Network Rail,RFD,SMD
train,24680004,L31124,1,LT,2014/04/04 17:27:00,2014/04/04 17:27:00,0,2014/04/04 17:27:00,2014/04/04 17:27:00,0,EARLY,Network Rail,HRW,EPH
train,22216000,L36211,3,LO,2014/04/04 17:32:00,2014/04/04 17:32:00,0,2014/04/04 17:31:00,2014/04/04 17:30:00,-1,ON TIME,Network Rail,EUS,WFJ
train,22214000,L37465,5,LO,2014/04/04 17:32:00,2014/04/04 17:32:00,0,2014/04/04 17:31:00,2014/04/04 17:31:00,-1,EARLY,Network Rail,SMD,CLJ
train,22216000,L36099,1,LO,2014/04/04 17:32:00,2014/04/04 17:32:00,0,2014/04/04 17:32:00,2014/04/04 17:32:00,0,NO REPORT,Network Rail,WFJ,EUS
train,22204000,L36717,4,LO,2014/04/04 17:35:00,2014/04/04 17:36:00,0,2014/04/04 17:33:00,2014/04/04 17:35:00,-1,LATE,Network Rail,CLJ,SMD
train,24680004,L31830,3,LT,2014/04/04 17:36:00,2014/04/04 17:36:00,0,2014/04/04 17:36:00,2014/04/04 17:36:00,0,NO REPORT,Network Rail,EPH,HRW
train,24680004,L31408,1,LT,2014/04/04 17:37:00,2014/04/04 17:37:00,0,2014/04/04 17:37:00,2014/04/04 17:36:00,0,ON TIME,Network Rail,HRW,EPH
train,22214000,L37163,5,LO,2014/04/04 17:39:00,2014/04/04 17:39:00,0,2014/04/04 17:38:00,2014/04/04 17:37:00,-1,EARLY,Network Rail,SMD,RFD
train,24680004,L31489,3,LT,2014/04/04 17:40:00,2014/04/04 17:40:00,0,2014/04/04 17:40:00,2014/04/04 17:39:00,0,EARLY,Network Rail,EPH,SBP
train,22214000,L37167,4,LO,2014/04/04 17:42:00,2014/04/04 17:42:00,0,2014/04/04 17:41:00,2014/04/04 17:40:00,-1,ON TIME,Network Rail,RFD,SMD
train,24680004,L31136,1,LT,2014/04/04 17:43:00,2014/04/04 17:43:00,0,2014/04/04 17:43:00,2014/04/04 17:42:00,0,LATE,Network Rail,SBP,EPH
train,22214000,L37472,5,LO,2014/04/04 17:46:00,2014/04/04 17:46:00,0,2014/04/04 17:45:00,2014/04/04 17:44:00,-1,EARLY,Network Rail,SMD,CLJ
train,24680004,L31657,3,LT,2014/04/04 17:46:00,2014/04/04 17:46:00,0,2014/04/04 17:46:00,2014/04/04 17:46:00,0,LATE,Network Rail,EPH,HRW
train,24680004,L31240,1,LT,2014/04/04 17:47:00,2014/04/04 17:47:00,0,2014/04/04 17:47:00,2014/04/04 17:46:00,0,ON TIME,Network Rail,HRW,EPH
train,22204000,L36718,4,LO,2014/04/04 17:50:00,2014/04/04 17:50:00,0,2014/04/04 17:49:00,2014/04/04 17:48:00,-1,ON TIME,Network Rail,CLJ,SMD
train,22216000,L36208,3,LO,2014/04/04 17:52:00,2014/04/04 17:53:00,0,2014/04/04 17:50:00,2014/04/04 17:52:00,-1,LATE,Network Rail,EUS,WFJ
train,22216000,L36104,1,LO,2014/04/04 17:52:00,2014/04/04 17:53:00,0,2014/04/04 17:52:00,2014/04/04 17:53:00,0,LATE,Network Rail,WFJ,EUS
train,22214000,L37170,5,LO,2014/04/04 17:53:00,2014/04/04 17:53:00,0,2014/04/04 17:52:00,2014/04/04 17:52:00,-1,ON TIME,Network Rail,SMD,RFD
train,24680004,L31849,3,LT,2014/04/04 17:56:00,2014/04/04 17:56:00,0,2014/04/04 17:56:00,2014/04/04 17:56:00,0,EARLY,Network Rail,EPH,HRW
train,22214000,L37175,4,LO,2014/04/04 17:57:00,2014/04/04 17:57:00,0,2014/04/04 17:56:00,2014/04/04 17:55:00,-1,ON TIME,Network Rail,RFD,SMD
train,24680004,L31032,1,LT,2014/04/04 17:57:00,2014/04/04 17:58:00,0,2014/04/04 17:56:00,2014/04/04 17:58:00,0,LATE,Network Rail,HRW,EPH
train,24680004,L31509,3,LT,2014/04/04 18:00:00,2014/04/04 18:01:00,2,2014/04/04 17:59:00,2014/04/04 18:01:00,2,LATE,Network Rail,EPH,SBP
train,22214000,L37475,5,LO,2014/04/04 18:01:00,2014/04/04 18:02:00,3,2014/04/04 18:00:00,2014/04/04 18:01:00,2,LATE,Network Rail,SMD,CLJ
train,24680004,L31261,1,LT,2014/04/04 18:02:00,2014/04/04 18:02:00,3,2014/04/04 18:02:00,2014/04/04 18:02:00,3,ON TIME,Network Rail,SBP,EPH
train,22204000,L36719,4,LO,2014/04/04 18:05:00,2014/04/04 18:06:00,7,2014/04/04 18:04:00,2014/04/04 18:05:00,6,LATE,Network Rail,CLJ,SMD
train,24680004,L31681,3,LT,2014/04/04 18:06:00,2014/04/04 18:06:00,7,2014/04/04 18:06:00,2014/04/04 18:06:00,7,EARLY,Network Rail,EPH,HRW
train,24680004,L31321,1,LT,2014/04/04 18:07:00,2014/04/04 18:07:00,8,2014/04/04 18:07:00,2014/04/04 18:07:00,8,EARLY,Network Rail,HRW,EPH
train,22214000,L37177,5,LO,2014/04/04 18:08:00,2014/04/04 18:08:00,9,2014/04/04 18:07:00,2014/04/04 18:07:00,8,EARLY,Network Rail,SMD,RFD
train,22216000,L36205,3,LO,2014/04/04 18:12:00,2014/04/04 18:12:00,13,2014/04/04 18:11:00,2014/04/04 18:11:00,12,ON TIME,Network Rail,EUS,WFJ
train,22214000,L37182,4,LO,2014/04/04 18:12:00,2014/04/04 18:12:00,13,2014/04/04 18:11:00,2014/04/04 18:11:00,12,EARLY,Network Rail,RFD,SMD
train,22216000,L36105,1,LO,2014/04/04 18:12:00,2014/04/04 18:12:00,13,2014/04/04 18:12:00,2014/04/04 18:12:00,13,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31648,3,LT,2014/04/04 18:16:00,2014/04/04 18:16:00,17,2014/04/04 18:16:00,2014/04/04 18:16:00,17,LATE,Network Rail,EPH,HRW
train,24680004,L31373,1,LT,2014/04/04 18:17:00,2014/04/04 18:17:00,18,2014/04/04 18:17:00,2014/04/04 18:17:00,18,ON TIME,Network Rail,HRW,EPH
train,22214000,L37480,5,LO,2014/04/04 18:18:00,2014/04/04 18:18:00,19,2014/04/04 18:17:00,2014/04/04 18:17:00,18,EARLY,Network Rail,SMD,CLJ
train,22204000,L36720,4,LO,2014/04/04 18:20:00,2014/04/04 18:20:00,21,2014/04/04 18:19:00,2014/04/04 18:19:00,20,ON TIME,Network Rail,CLJ,SMD
train,24680004,L31533,3,LT,2014/04/04 18:20:00,2014/04/04 18:20:00,21,2014/04/04 18:20:00,2014/04/04 18:20:00,21,LATE,Network Rail,EPH,SBP
train,24680004,L31226,1,LT,2014/04/04 18:22:00,2014/04/04 18:22:00,23,2014/04/04 18:22:00,2014/04/04 18:22:00,23,ON TIME,Network Rail,SBP,EPH
train,22214000,L37185,5,LO,2014/04/04 18:24:00,2014/04/04 18:24:00,25,2014/04/04 18:23:00,2014/04/04 18:23:00,24,ON TIME,Network Rail,SMD,RFD
train,24680004,L31817,3,LT,2014/04/04 18:26:00,2014/04/04 18:26:00,27,2014/04/04 18:26:00,2014/04/04 18:26:00,27,LATE,Network Rail,EPH,HRW
train,22214000,L37190,4,LO,2014/04/04 18:27:00,2014/04/04 18:27:00,28,2014/04/04 18:26:00,2014/04/04 18:26:00,27,ON TIME,Network Rail,RFD,SMD
train,24680004,L31148,1,LT,2014/04/04 18:27:00,2014/04/04 18:27:00,28,2014/04/04 18:27:00,2014/04/04 18:27:00,28,ON TIME,Network Rail,HRW,EPH
train,22214000,L37485,5,LO,2014/04/04 18:31:00,2014/04/04 18:31:00,32,2014/04/04 18:30:00,2014/04/04 18:30:00,31,EARLY,Network Rail,SMD,CLJ
train,22216000,L36202,3,LO,2014/04/04 18:32:00,2014/04/04 18:32:00,33,2014/04/04 18:31:00,2014/04/04 18:31:00,32,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36108,1,LO,2014/04/04 18:32:00,2014/04/04 18:32:00,33,2014/04/04 18:32:00,2014/04/04 18:32:00,33,ON TIME,Network Rail,WFJ,EUS
train,22204000,L36721,4,LO,2014/04/04 18:35:00,2014/04/04 18:35:00,36,2014/04/04 18:34:00,2014/04/04 18:34:00,35,ON TIME,Network Rail,CLJ,SMD
train,24680004,L31587,3,LT,2014/04/04 18:36:00,2014/04/04 18:36:00,37,2014/04/04 18:36:00,2014/04/04 18:36:00,37,ON TIME,Network Rail,EPH,HRW
train,24680004,L31400,1,LT,2014/04/04 18:37:00,2014/04/04 18:37:00,38,2014/04/04 18:37:00,2014/04/04 18:37:00,38,ON TIME,Network Rail,HRW,EPH
train,22214000,L37194,5,LO,2014/04/04 18:38:00,2014/04/04 18:38:00,39,2014/04/04 18:37:00,2014/04/04 18:37:00,38,ON TIME,Network Rail,SMD,RFD
train,24680004,L31464,3,LT,2014/04/04 18:40:00,2014/04/04 18:40:00,41,2014/04/04 18:40:00,2014/04/04 18:40:00,41,ON TIME,Network Rail,EPH,SBP
train,22214000,L36794,4,LO,2014/04/04 18:41:00,2014/04/04 18:41:00,42,2014/04/04 18:40:00,2014/04/04 18:40:00,41,ON TIME,Network Rail,RFD,SMD
train,24680004,L31275,1,LT,2014/04/04 18:42:00,2014/04/04 18:42:00,43,2014/04/04 18:42:00,2014/04/04 18:42:00,43,ON TIME,Network Rail,SBP,EPH
train,22214000,L37203,5,LO,2014/04/04 18:46:00,2014/04/04 18:46:00,47,2014/04/04 18:45:00,2014/04/04 18:45:00,46,ON TIME,Network Rail,SMD,CLJ
train,24680004,L31701,3,LT,2014/04/04 18:46:00,2014/04/04 18:46:00,47,2014/04/04 18:46:00,2014/04/04 18:46:00,47,ON TIME,Network Rail,EPH,HRW
train,24680004,L31177,1,LT,2014/04/04 18:47:00,2014/04/04 18:47:00,48,2014/04/04 18:47:00,2014/04/04 18:47:00,48,ON TIME,Network Rail,HRW,EPH
train,22204000,L36725,4,LO,2014/04/04 18:50:00,2014/04/04 18:50:00,51,2014/04/04 18:49:00,2014/04/04 18:49:00,50,ON TIME,Network Rail,CLJ,SMD
train,22216000,L36199,3,LO,2014/04/04 18:52:00,2014/04/04 18:52:00,53,2014/04/04 18:51:00,2014/04/04 18:51:00,52,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36113,1,LO,2014/04/04 18:52:00,2014/04/04 18:52:00,53,2014/04/04 18:52:00,2014/04/04 18:52:00,53,ON TIME,Network Rail,WFJ,EUS
train,22214000,L36797,5,LO,2014/04/04 18:53:00,2014/04/04 18:53:00,54,2014/04/04 18:52:00,2014/04/04 18:52:00,53,ON TIME,Network Rail,SMD,RFD
train,24680004,L31652,3,LT,2014/04/04 18:56:00,2014/04/04 18:56:00,57,2014/04/04 18:56:00,2014/04/04 18:56:00,57,ON TIME,Network Rail,EPH,HRW
train,22214000,L36804,4,LO,2014/04/04 18:57:00,2014/04/04 18:57:00,58,2014/04/04 18:56:00,2014/04/04 18:56:00,57,ON TIME,Network Rail,RFD,SMD
train,24680004,L31134,1,LT,2014/04/04 18:57:00,2014/04/04 18:57:00,58,2014/04/04 18:57:00,2014/04/04 18:57:00,58,ON TIME,Network Rail,HRW,EPH
train,24680004,L31494,3,LT,2014/04/04 19:00:00,2014/04/04 19:00:00,61,2014/04/04 19:00:00,2014/04/04 19:00:00,61,ON TIME,Network Rail,EPH,SBP
train,22214000,L37210,5,LO,2014/04/04 19:01:00,2014/04/04 19:01:00,62,2014/04/04 19:00:00,2014/04/04 19:00:00,61,ON TIME,Network Rail,SMD,CLJ
train,24680004,L31354,1,LT,2014/04/04 19:03:00,2014/04/04 19:03:00,64,2014/04/04 19:03:00,2014/04/04 19:03:00,64,ON TIME,Network Rail,SBP,EPH
train,22204000,L36791,4,LO,2014/04/04 19:04:00,2014/04/04 19:04:00,65,2014/04/04 19:03:00,2014/04/04 19:03:00,64,ON TIME,Network Rail,CLJ,SMD
train,24680004,L31666,3,LT,2014/04/04 19:06:00,2014/04/04 19:06:00,67,2014/04/04 19:06:00,2014/04/04 19:06:00,67,ON TIME,Network Rail,EPH,HRW
train,24680004,L31361,1,LT,2014/04/04 19:07:00,2014/04/04 19:07:00,68,2014/04/04 19:07:00,2014/04/04 19:07:00,68,ON TIME,Network Rail,HRW,EPH
train,22214000,L36811,5,LO,2014/04/04 19:08:00,2014/04/04 19:08:00,69,2014/04/04 19:07:00,2014/04/04 19:07:00,68,ON TIME,Network Rail,SMD,RFD
train,22216000,L36196,3,LO,2014/04/04 19:12:00,2014/04/04 19:12:00,73,2014/04/04 19:11:00,2014/04/04 19:11:00,72,ON TIME,Network Rail,EUS,WFJ
train,22214000,L36817,4,LO,2014/04/04 19:12:00,2014/04/04 19:12:00,73,2014/04/04 19:11:00,2014/04/04 19:11:00,72,ON TIME,Network Rail,RFD,SMD
train,22216000,L36115,1,LO,2014/04/04 19:12:00,2014/04/04 19:12:00,73,2014/04/04 19:12:00,2014/04/04 19:12:00,73,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31750,3,LT,2014/04/04 19:15:00,2014/04/04 19:15:00,76,2014/04/04 19:15:00,2014/04/04 19:15:00,76,ON TIME,Network Rail,EPH,HRW
train,22214000,L37220,5,LO,2014/04/04 19:16:00,2014/04/04 19:16:00,77,2014/04/04 19:15:00,2014/04/04 19:15:00,76,ON TIME,Network Rail,SMD,CLJ
train,24680004,L31459,3,LT,2014/04/04 19:18:00,2014/04/04 19:18:00,79,2014/04/04 19:18:00,2014/04/04 19:18:00,79,ON TIME,Network Rail,EPH,SBP
train,24680004,L31041,1,LT,2014/04/04 19:19:00,2014/04/04 19:19:00,80,2014/04/04 19:19:00,2014/04/04 19:19:00,80,ON TIME,Network Rail,HRW,EPH
train,22204000,L36698,4,LO,2014/04/04 19:20:00,2014/04/04 19:20:00,81,2014/04/04 19:19:00,2014/04/04 19:19:00,80,ON TIME,Network Rail,CLJ,SMD
train,24680004,L31764,3,LT,2014/04/04 19:22:00,2014/04/04 19:22:00,83,2014/04/04 19:22:00,2014/04/04 19:22:00,83,ON TIME,Network Rail,EPH,HRW
train,24680004,L31241,1,LT,2014/04/04 19:24:00,2014/04/04 19:24:00,85,2014/04/04 19:24:00,2014/04/04 19:24:00,85,ON TIME,Network Rail,SBP,EPH
train,22214000,L36823,5,LO,2014/04/04 19:25:00,2014/04/04 19:25:00,86,2014/04/04 19:24:00,2014/04/04 19:24:00,85,ON TIME,Network Rail,SMD,RFD
train,24680004,L31468,3,LT,2014/04/04 19:26:00,2014/04/04 19:26:00,87,2014/04/04 19:26:00,2014/04/04 19:26:00,87,ON TIME,Network Rail,EPH,SBP
train,24680004,L31202,1,LT,2014/04/04 19:27:00,2014/04/04 19:27:00,88,2014/04/04 19:27:00,2014/04/04 19:27:00,88,ON TIME,Network Rail,HRW,EPH
train,22214000,L36830,4,LO,2014/04/04 19:27:00,2014/04/04 19:27:00,88,2014/04/04 19:26:00,2014/04/04 19:26:00,87,ON TIME,Network Rail,RFD,SMD
train,22214000,L37225,5,LO,2014/04/04 19:31:00,2014/04/04 19:31:00,92,2014/04/04 19:30:00,2014/04/04 19:30:00,91,ON TIME,Network Rail,SMD,CLJ
train,22216000,L36193,3,LO,2014/04/04 19:31:00,2014/04/04 19:31:00,92,2014/04/04 19:31:00,2014/04/04 19:31:00,92,ON TIME,Network Rail,EUS,WFJ
train,22216000,L36117,1,LO,2014/04/04 19:32:00,2014/04/04 19:32:00,93,2014/04/04 19:32:00,2014/04/04 19:32:00,93,ON TIME,Network Rail,WFJ,EUS
train,22204000,L36702,4,LO,2014/04/04 19:35:00,2014/04/04 19:35:00,96,2014/04/04 19:35:00,2014/04/04 19:35:00,96,ON TIME,Network Rail,CLJ,SMD
train,24680004,L31718,3,LT,2014/04/04 19:35:00,2014/04/04 19:35:00,96,2014/04/04 19:35:00,2014/04/04 19:35:00,96,ON TIME,Network Rail,EPH,HRW
train,24680004,L31455,3,LT,2014/04/04 19:38:00,2014/04/04 19:38:00,99,2014/04/04 19:38:00,2014/04/04 19:38:00,99,ON TIME,Network Rail,EPH,SBP
