mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,24680004,L31124,2,LT,2014/04/04 17:20:00,2014/04/04 17:20:00,0,2014/04/04 17:20:00,2014/04/04 17:19:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31576,1,LT,2014/04/04 17:23:00,2014/04/04 17:23:00,0,2014/04/04 17:23:00,2014/04/04 17:22:00,0,EARLY,Network Rail,EPH,HRW
train,22216000,L36099,2,LO,2014/04/04 17:25:00,2014/04/04 17:25:00,0,2014/04/04 17:25:00,2014/04/04 17:24:00,0,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31408,2,LT,2014/04/04 17:30:00,2014/04/04 17:30:00,0,2014/04/04 17:30:00,2014/04/04 17:29:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31795,1,LT,2014/04/04 17:33:00,2014/04/04 17:33:00,0,2014/04/04 17:33:00,2014/04/04 17:32:00,0,EARLY,Network Rail,EPH,HRW
train,22216000,L36211,1,LO,2014/04/04 17:39:00,2014/04/04 17:39:00,0,2014/04/04 17:39:00,2014/04/04 17:38:00,0,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31240,2,LT,2014/04/04 17:40:00,2014/04/04 17:40:00,0,2014/04/04 17:40:00,2014/04/04 17:39:00,0,NO REPORT,Network Rail,HRW,EPH
train,24680004,L31830,1,LT,2014/04/04 17:44:00,2014/04/04 17:44:00,0,2014/04/04 17:43:00,2014/04/04 17:42:00,-1,EARLY,Network Rail,EPH,HRW
train,22216000,L36104,2,LO,2014/04/04 17:45:00,2014/04/04 17:46:00,0,2014/04/04 17:44:00,2014/04/04 17:46:00,0,LATE,Network Rail,WFJ,EUS
train,24680004,L31032,2,LT,2014/04/04 17:50:00,2014/04/04 17:50:00,0,2014/04/04 17:50:00,2014/04/04 17:49:00,0,ON TIME,Network Rail,HRW,EPH
train,24680004,L31657,1,LT,2014/04/04 17:53:00,2014/04/04 17:53:00,0,2014/04/04 17:53:00,2014/04/04 17:52:00,0,LATE,Network Rail,EPH,HRW
train,22216000,L36208,1,LO,2014/04/04 17:59:00,2014/04/04 18:00:00,1,2014/04/04 17:58:00,2014/04/04 18:00:00,1,LATE,Network Rail,EUS,WFJ
train,24680004,L31321,2,LT,2014/04/04 18:00:00,2014/04/04 18:00:00,1,2014/04/04 18:00:00,2014/04/04 18:00:00,1,EARLY,Network Rail,HRW,EPH
train,24680004,L31849,1,LT,2014/04/04 18:03:00,2014/04/04 18:03:00,4,2014/04/04 18:03:00,2014/04/04 18:03:00,4,EARLY,Network Rail,EPH,HRW
train,24674005,W82153,6,SN,2014/04/04 18:03:00,2014/04/04 18:04:00,5,2014/04/04 18:03:00,2014/04/04 18:04:00,5,LATE,Network Rail,MKC,ECR
train,22216000,L36105,2,LO,2014/04/04 18:05:00,2014/04/04 18:05:00,6,2014/04/04 18:05:00,2014/04/04 18:05:00,6,ON TIME,Network Rail,WFJ,EUS
train,24674005,W82072,5,SN,2014/04/04 18:09:00,2014/04/04 18:09:00,10,2014/04/04 18:09:00,2014/04/04 18:09:00,10,ON TIME,Network Rail,SCY,MKC
train,24680004,L31373,2,LT,2014/04/04 18:10:00,2014/04/04 18:10:00,11,2014/04/04 18:10:00,2014/04/04 18:10:00,11,ON TIME,Network Rail,HRW,EPH
train,24680004,L31681,1,LT,2014/04/04 18:13:00,2014/04/04 18:13:00,14,2014/04/04 18:13:00,2014/04/04 18:13:00,14,EARLY,Network Rail,EPH,HRW
train,22216000,L36205,1,LO,2014/04/04 18:19:00,2014/04/04 18:19:00,20,2014/04/04 18:19:00,2014/04/04 18:19:00,20,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31148,2,LT,2014/04/04 18:20:00,2014/04/04 18:20:00,21,2014/04/04 18:20:00,2014/04/04 18:20:00,21,ON TIME,Network Rail,HRW,EPH
train,24680004,L31648,1,LT,2014/04/04 18:23:00,2014/04/04 18:23:00,24,2014/04/04 18:23:00,2014/04/04 18:23:00,24,LATE,Network Rail,EPH,HRW
train,22216000,L36108,2,LO,2014/04/04 18:25:00,2014/04/04 18:25:00,26,2014/04/04 18:25:00,2014/04/04 18:25:00,26,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31400,2,LT,2014/04/04 18:30:00,2014/04/04 18:30:00,31,2014/04/04 18:30:00,2014/04/04 18:30:00,31,ON TIME,Network Rail,HRW,EPH
train,24680004,L31817,1,LT,2014/04/04 18:33:00,2014/04/04 18:33:00,34,2014/04/04 18:33:00,2014/04/04 18:33:00,34,LATE,Network Rail,EPH,HRW
train,22216000,L36202,1,LO,2014/04/04 18:39:00,2014/04/04 18:39:00,40,2014/04/04 18:39:00,2014/04/04 18:39:00,40,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31177,2,LT,2014/04/04 18:40:00,2014/04/04 18:40:00,41,2014/04/04 18:40:00,2014/04/04 18:40:00,41,ON TIME,Network Rail,HRW,EPH
train,24680004,L31587,1,LT,2014/04/04 18:43:00,2014/04/04 18:43:00,44,2014/04/04 18:43:00,2014/04/04 18:43:00,44,ON TIME,Network Rail,EPH,HRW
train,22216000,L36113,2,LO,2014/04/04 18:45:00,2014/04/04 18:45:00,46,2014/04/04 18:45:00,2014/04/04 18:45:00,46,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31134,2,LT,2014/04/04 18:50:00,2014/04/04 18:50:00,51,2014/04/04 18:50:00,2014/04/04 18:50:00,51,ON TIME,Network Rail,HRW,EPH
train,24680004,L31701,1,LT,2014/04/04 18:53:00,2014/04/04 18:53:00,54,2014/04/04 18:53:00,2014/04/04 18:53:00,54,ON TIME,Network Rail,EPH,HRW
train,22216000,L36199,1,LO,2014/04/04 18:59:00,2014/04/04 18:59:00,60,2014/04/04 18:59:00,2014/04/04 18:59:00,60,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31361,2,LT,2014/04/04 19:00:00,2014/04/04 19:00:00,61,2014/04/04 19:00:00,2014/04/04 19:00:00,61,ON TIME,Network Rail,HRW,EPH
train,24680004,L31652,1,LT,2014/04/04 19:03:00,2014/04/04 19:03:00,64,2014/04/04 19:03:00,2014/04/04 19:03:00,64,ON TIME,Network Rail,EPH,HRW
train,24674005,W82154,6,SN,2014/04/04 19:04:00,2014/04/04 19:04:00,65,2014/04/04 19:04:00,2014/04/04 19:04:00,65,ON TIME,Network Rail,MKC,SRS
train,22216000,L36115,2,LO,2014/04/04 19:05:00,2014/04/04 19:05:00,66,2014/04/04 19:05:00,2014/04/04 19:05:00,66,ON TIME,Network Rail,WFJ,EUS
train,24674005,W82074,5,SN,2014/04/04 19:09:00,2014/04/04 19:09:00,70,2014/04/04 19:09:00,2014/04/04 19:09:00,70,ON TIME,Network Rail,ECR,MKC
train,24680004,L31041,2,LT,2014/04/04 19:12:00,2014/04/04 19:12:00,73,2014/04/04 19:12:00,2014/04/04 19:12:00,73,ON TIME,Network Rail,HRW,EPH
train,24680004,L31666,1,LT,2014/04/04 19:13:00,2014/04/04 19:13:00,74,2014/04/04 19:13:00,2014/04/04 19:13:00,74,ON TIME,Network Rail,EPH,HRW
train,22216000,L36196,1,LO,2014/04/04 19:19:00,2014/04/04 19:19:00,80,2014/04/04 19:19:00,2014/04/04 19:19:00,80,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31202,2,LT,2014/04/04 19:20:00,2014/04/04 19:20:00,81,2014/04/04 19:20:00,2014/04/04 19:20:00,81,ON TIME,Network Rail,HRW,EPH
train,24680004,L31750,1,LT,2014/04/04 19:23:00,2014/04/04 19:23:00,84,2014/04/04 19:23:00,2014/04/04 19:23:00,84,ON TIME,Network Rail,EPH,HRW
train,22216000,L36117,2,LO,2014/04/04 19:25:00,2014/04/04 19:25:00,86,2014/04/04 19:25:00,2014/04/04 19:25:00,86,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31764,1,LT,2014/04/04 19:30:00,2014/04/04 19:30:00,91,2014/04/04 19:30:00,2014/04/04 19:30:00,91,ON TIME,Network Rail,EPH,HRW
train,24680004,L31137,2,LT,2014/04/04 19:33:00,2014/04/04 19:33:00,94,2014/04/04 19:33:00,2014/04/04 19:33:00,94,ON TIME,Network Rail,HRW,EPH
train,22216000,L36193,1,LO,2014/04/04 19:38:00,2014/04/04 19:38:00,99,2014/04/04 19:38:00,2014/04/04 19:38:00,99,ON TIME,Network Rail,EUS,WFJ
train,24680004,L31164,2,LT,2014/04/04 19:40:00,2014/04/04 19:40:00,101,2014/04/04 19:40:00,2014/04/04 19:40:00,101,ON TIME,Network Rail,HRW,EPH
train,24680004,L31718,1,LT,2014/04/04 19:42:00,2014/04/04 19:42:00,103,2014/04/04 19:42:00,2014/04/04 19:42:00,103,ON TIME,Network Rail,EPH,HRW
train,22216000,L36122,2,LO,2014/04/04 19:45:00,2014/04/04 19:45:00,106,2014/04/04 19:45:00,2014/04/04 19:45:00,106,ON TIME,Network Rail,WFJ,EUS
train,24680004,L31785,1,LT,2014/04/04 19:49:00,2014/04/04 19:49:00,110,2014/04/04 19:49:00,2014/04/04 19:49:00,110,ON TIME,Network Rail,EPH,HRW
train,24680004,L31260,2,LT,2014/04/04 19:51:00,2014/04/04 19:51:00,112,2014/04/04 19:51:00,2014/04/04 19:51:00,112,ON TIME,Network Rail,HRW,EPH
train,22216000,L36190,1,LO,2014/04/04 19:58:00,2014/04/04 19:58:00,119,2014/04/04 19:58:00,2014/04/04 19:58:00,119,ON TIME,Network Rail,EUS,WFJ
