mode,service,train_uid,platform,operator,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time,expected_arrival_time,best_arrival_estimate_mins,status,source,origin_code,destination_code
train,22209000,S71368,10,LM,,,,2014/04/06 09:45:00,2014/04/06 09:45:00,0,EARLY,Network Rail,MKC,EUS
train,22216000,L36026,9,LO,,,,2014/04/06 10:30:00,2014/04/06 10:32:00,0,LATE,Network Rail,WFJ,EUS
train,22216000,L36035,9,LO,,,,2014/04/06 11:30:00,2014/04/06 11:32:00,0,LATE,Network Rail,WFJ,EUS
train,22216000,L36044,9,LO,,,,2014/04/06 12:31:00,2014/04/06 12:32:00,-1,LATE,Network Rail,WFJ,EUS
train,22209000,G23551,11,LM,,,,2014/04/06 12:57:00,2014/04/06 12:57:00,0,ON TIME,Network Rail,BLY,EUS
train,22216000,L36050,9,LO,,,,2014/04/06 13:10:00,2014/04/06 13:10:00,0,ON TIME,Network Rail,WFJ,EUS
train,22209000,G24003,10,LM,,,,2014/04/06 13:17:00,2014/04/06 13:17:00,0,ON TIME,Network Rail,MKC,EUS
train,22216000,L36053,9,LO,,,,2014/04/06 13:31:00,2014/04/06 13:31:00,0,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36059,9,LO,,,,2014/04/06 14:10:00,2014/04/06 14:11:00,0,LATE,Network Rail,WFJ,EUS
train,22209000,G24015,11,LM,,,,2014/04/06 14:17:00,2014/04/06 14:17:00,-1,ON TIME,Network Rail,MKC,EUS
train,22216000,L36062,9,LO,,,,2014/04/06 14:31:00,2014/04/06 14:31:00,-1,ON TIME,Network Rail,WFJ,EUS
train,22216000,L36065,9,LO,,,,2014/04/06 14:50:00,2014/04/06 14:53:00,1,LATE,Network Rail,WFJ,EUS
